Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
Campaigns,IE 11,,,2019-10-11 13:09:59,2019-10-11 13:14:41,4m - 41.206s,INCOMPLETE
,,,,,,,
Test Cases/Login and Logout - Notifications/Login,IE 11,,,2019-10-11 13:10:00,2019-10-11 13:10:22,21.934s,PASSED
"openBrowser("""")",IE 11,,,2019-10-11 13:10:00,2019-10-11 13:10:05,4.962s,PASSED
"navigateToUrl(""https://samsung-adzu4-staging.codeworldwide.com/#"")",IE 11,,,2019-10-11 13:10:05,2019-10-11 13:10:07,1.782s,PASSED
"setText(findTestObject(""Object Repository/Login/Page_Samsung Marketing Cloud/Username_Text""), ""satinder.gandhi@codeworldwide.com"")",IE 11,,,2019-10-11 13:10:07,2019-10-11 13:10:13,5.838s,PASSED
"setEncryptedText(findTestObject(""Object Repository/Login/Page_Samsung Marketing Cloud/Password_text""), ""yfq/9fVkW5+QvfzWq38qvg=="")",IE 11,,,2019-10-11 13:10:13,2019-10-11 13:10:16,3.676s,PASSED
"click(findTestObject(""Object Repository/Login/Page_Samsung Marketing Cloud/button_Login""))",IE 11,,,2019-10-11 13:10:16,2019-10-11 13:10:21,4.242s,PASSED
maximizeWindow(),IE 11,,,2019-10-11 13:10:21,2019-10-11 13:10:22,1.128s,PASSED
,,,,,,,
Test Cases/Home Page/Campaigns/QLED 2019 Campaign,IE 11,,,2019-10-11 13:10:22,2019-10-11 13:10:28,6.710s,PASSED
"navigateToUrl(""https://samsung-adzu4-staging.codeworldwide.com/#"")",IE 11,,,2019-10-11 13:10:22,2019-10-11 13:10:24,1.919s,PASSED
waitForPageLoad(1),IE 11,,,2019-10-11 13:10:24,2019-10-11 13:10:25,1.138s,PASSED
"click(findTestObject(""Home Page/Homa Page Tiles/Campaigns/a_QLED 2019""))",IE 11,,,2019-10-11 13:10:25,2019-10-11 13:10:28,3.441s,PASSED
,,,,,,,
Test Cases/Home Page/Campaigns/QuickDrive Campaigns,IE 11,,,2019-10-11 13:10:28,2019-10-11 13:10:34,5.979s,PASSED
"navigateToUrl(""https://samsung-adzu4-staging.codeworldwide.com/#"")",IE 11,,,2019-10-11 13:10:29,2019-10-11 13:10:30,1.238s,PASSED
waitForPageLoad(1),IE 11,,,2019-10-11 13:10:30,2019-10-11 13:10:31,1.056s,PASSED
"click(findTestObject(""Home Page/Homa Page Tiles/Campaigns/a_QuickDrive""))",IE 11,,,2019-10-11 13:10:31,2019-10-11 13:10:34,3.488s,PASSED
,,,,,,,
Test Cases/Home Page/Campaigns/Galaxy Note9 Campaign,IE 11,,,2019-10-11 13:10:34,2019-10-11 13:10:40,5.987s,PASSED
"navigateToUrl(""https://samsung-adzu4-staging.codeworldwide.com/#"")",IE 11,,,2019-10-11 13:10:35,2019-10-11 13:10:36,1.241s,PASSED
waitForPageLoad(1),IE 11,,,2019-10-11 13:10:36,2019-10-11 13:10:37,1.051s,PASSED
"click(findTestObject(""Home Page/Homa Page Tiles/Campaigns/a_Galaxy Note9""))",IE 11,,,2019-10-11 13:10:37,2019-10-11 13:10:40,3.511s,PASSED
,,,,,,,
Test Cases/Home Page/Campaigns/Holidays Campaign,IE 11,,,2019-10-11 13:10:40,2019-10-11 13:10:46,5.943s,PASSED
"navigateToUrl(""https://samsung-adzu4-staging.codeworldwide.com/#"")",IE 11,,,2019-10-11 13:10:41,2019-10-11 13:10:42,1.272s,PASSED
waitForPageLoad(1),IE 11,,,2019-10-11 13:10:42,2019-10-11 13:10:43,1.042s,PASSED
"click(findTestObject(""Home Page/Homa Page Tiles/Campaigns/a_Holidays""))",IE 11,,,2019-10-11 13:10:43,2019-10-11 13:10:46,3.431s,PASSED
,,,,,,,
Test Cases/Home Page/Campaigns/Galaxy A7 Campaign,IE 11,,,2019-10-11 13:10:46,2019-10-11 13:10:53,7.134s,PASSED
"navigateToUrl(""https://samsung-adzu4-staging.codeworldwide.com/#"")",IE 11,,,2019-10-11 13:10:46,2019-10-11 13:10:48,1.254s,PASSED
waitForPageLoad(1),IE 11,,,2019-10-11 13:10:48,2019-10-11 13:10:49,1.065s,PASSED
"click(findTestObject(""Home Page/Homa Page Tiles/Campaigns/a_Galaxy A7""))",IE 11,,,2019-10-11 13:10:49,2019-10-11 13:10:52,3.388s,PASSED
"navigateToUrl(""https://samsung-adzu4-staging.codeworldwide.com/#"")",IE 11,,,2019-10-11 13:10:52,2019-10-11 13:10:53,1.247s,PASSED
,,,,,,,
Test Cases/Home Page/Campaigns/Galaxy S9_S9,IE 11,,,2019-10-11 13:10:53,2019-10-11 13:11:08,14.582s,PASSED
"navigateToUrl(""https://samsung-adzu4-staging.codeworldwide.com/#"")",IE 11,,,2019-10-11 13:10:54,2019-10-11 13:10:55,1.237s,PASSED
"click(findTestObject(""Home Page/Homa Page Tiles/Campaigns/button_View More""))",IE 11,,,2019-10-11 13:10:55,2019-10-11 13:10:58,3.129s,PASSED
waitForPageLoad(1),IE 11,,,2019-10-11 13:10:58,2019-10-11 13:10:59,1.056s,PASSED
"click(findTestObject(""Home Page/Homa Page Tiles/Campaigns/a_Galaxy S9  S9""))",IE 11,,,2019-10-11 13:10:59,2019-10-11 13:11:08,8.949s,PASSED
,,,,,,,
Test Cases/Home Page/Campaigns/The Frame TV Campaign,IE 11,,,2019-10-11 13:11:08,2019-10-11 13:11:23,14.590s,PASSED
"navigateToUrl(""https://samsung-adzu4-staging.codeworldwide.com/#"")",IE 11,,,2019-10-11 13:11:08,2019-10-11 13:11:09,1.237s,PASSED
"click(findTestObject(""Home Page/Homa Page Tiles/Campaigns/button_View More""))",IE 11,,,2019-10-11 13:11:09,2019-10-11 13:11:13,3.181s,PASSED
waitForPageLoad(1),IE 11,,,2019-10-11 13:11:13,2019-10-11 13:11:14,1.054s,PASSED
"click(findTestObject(""Home Page/Homa Page Tiles/Campaigns/a_The Frame TV""))",IE 11,,,2019-10-11 13:11:14,2019-10-11 13:11:23,8.941s,PASSED
,,,,,,,
Test Cases/Home Page/Campaigns/QLED TV Campaign,IE 11,,,2019-10-11 13:11:23,2019-10-11 13:11:36,13.004s,PASSED
"navigateToUrl(""https://samsung-adzu4-staging.codeworldwide.com/#"")",IE 11,,,2019-10-11 13:11:23,2019-10-11 13:11:24,1.236s,PASSED
"click(findTestObject(""Home Page/Homa Page Tiles/Campaigns/button_View More""))",IE 11,,,2019-10-11 13:11:24,2019-10-11 13:11:27,3.417s,PASSED
waitForPageLoad(1),IE 11,,,2019-10-11 13:11:27,2019-10-11 13:11:28,1.051s,PASSED
"click(findTestObject(""Home Page/Homa Page Tiles/Campaigns/a_QLED TV""))",IE 11,,,2019-10-11 13:11:28,2019-10-11 13:11:36,7.136s,PASSED
,,,,,,,
Test Cases/Home Page/Campaigns/Galaxy A9 Campaign,IE 11,,,2019-10-11 13:11:36,2019-10-11 13:11:46,10.875s,PASSED
"navigateToUrl(""https://samsung-adzu4-staging.codeworldwide.com/#"")",IE 11,,,2019-10-11 13:11:36,2019-10-11 13:11:37,1.244s,PASSED
"click(findTestObject(""Home Page/Homa Page Tiles/Campaigns/button_View More""))",IE 11,,,2019-10-11 13:11:37,2019-10-11 13:11:40,3.215s,PASSED
waitForPageLoad(1),IE 11,,,2019-10-11 13:11:40,2019-10-11 13:11:41,1.042s,PASSED
"click(findTestObject(""Home Page/Homa Page Tiles/Campaigns/a_Galaxy A9""))",IE 11,,,2019-10-11 13:11:41,2019-10-11 13:11:46,5.186s,PASSED
,,,,,,,
Test Cases/Home Page/Campaigns/S10 Campaign,IE 11,,,2019-10-11 13:11:46,2019-10-11 13:14:29,2m - 42.767s,FAILED
"navigateToUrl(""https://samsung-adzu4-staging.codeworldwide.com/#"")",IE 11,,,2019-10-11 13:11:47,2019-10-11 13:11:48,1.245s,PASSED
waitForPageLoad(1),IE 11,,,2019-10-11 13:11:48,2019-10-11 13:11:49,1.069s,PASSED
"click(findTestObject(""Home Page/Homa Page Tiles/Campaigns/a_S10""))",IE 11,,,2019-10-11 13:11:49,2019-10-11 13:11:53,3.430s,PASSED
"click(findTestObject(""Home Page/Homa Page Tiles/Campaigns/Page_Samsung Marketing Cloud/a_Guidelines""))",IE 11,,,2019-10-11 13:11:53,2019-10-11 13:11:56,3.468s,PASSED
delay(1),IE 11,,,2019-10-11 13:11:56,2019-10-11 13:11:57,1.024s,PASSED
url = getUrl(),IE 11,,,2019-10-11 13:11:57,2019-10-11 13:11:58,1.044s,PASSED
"verifyMatch(url, ""https://samsung-adzu4-staging.codeworldwide.com/#page/Assets?TagsID=5e861b2e-476e-47a7-8da6-1f8eaac0545d&CampaignID=51a8da8e-2afa-4c47-ae26-e14f01ff5e7c&CampaignText=S10%20Test%20Campaign"", false)",IE 11,,,2019-10-11 13:11:58,2019-10-11 13:11:58,0.024s,FAILED
"navigateToUrl(""https://samsung-adzu4-staging.codeworldwide.com/#page/GB/en-GB/AllDevices/S10"")",IE 11,,,2019-10-11 13:11:58,2019-10-11 13:11:59,1.238s,PASSED
"click(findTestObject(""Home Page/Homa Page Tiles/Campaigns/Page_Samsung Marketing Cloud/a_Agency Briefs""))",IE 11,,,2019-10-11 13:11:59,2019-10-11 13:12:03,3.568s,PASSED
delay(1),IE 11,,,2019-10-11 13:12:03,2019-10-11 13:12:04,1.004s,PASSED
url = getUrl(),IE 11,,,2019-10-11 13:12:04,2019-10-11 13:12:05,1.050s,PASSED
"verifyMatch(url, ""https://samsung-adzu4-staging.codeworldwide.com/#page/Assets?TagsID=0ad5caeb-cdde-46cb-a9dd-7bb8735ec59c&CampaignID=51a8da8e-2afa-4c47-ae26-e14f01ff5e7c&CampaignText=S10%20Test%20Campaign"", false)",IE 11,,,2019-10-11 13:12:05,2019-10-11 13:12:05,0.003s,FAILED
"navigateToUrl(""https://samsung-adzu4-staging.codeworldwide.com/#page/GB/en-GB/AllDevices/S10"")",IE 11,,,2019-10-11 13:12:05,2019-10-11 13:12:06,1.245s,PASSED
"scrollToElement(findTestObject(""Home Page/Homa Page Tiles/Campaigns/Page_Samsung Marketing Cloud/h1_Available Adaptations""), 0)",IE 11,,,2019-10-11 13:12:06,2019-10-11 13:12:08,2.204s,PASSED
"click(findTestObject(""Home Page/Homa Page Tiles/Campaigns/Page_Samsung Marketing Cloud/a_PVI assets""))",IE 11,,,2019-10-11 13:12:08,2019-10-11 13:12:12,3.605s,PASSED
delay(1),IE 11,,,2019-10-11 13:12:12,2019-10-11 13:12:13,1.005s,PASSED
url = getUrl(),IE 11,,,2019-10-11 13:12:13,2019-10-11 13:12:14,1.032s,PASSED
"verifyMatch(url, ""https://samsung-adzu4-staging.codeworldwide.com/#page/Assets?TagsID=4bafa835-d8d1-4004-8e9e-0ff0b92e7079&CampaignID=51a8da8e-2afa-4c47-ae26-e14f01ff5e7c&CampaignText=S10%20Test%20Campaign"", false)",IE 11,,,2019-10-11 13:12:14,2019-10-11 13:12:14,0.003s,PASSED
"navigateToUrl(""https://samsung-adzu4-staging.codeworldwide.com/#page/GB/en-GB/AllDevices/S10"")",IE 11,,,2019-10-11 13:12:14,2019-10-11 13:12:15,1.235s,PASSED
"scrollToElement(findTestObject(""Home Page/Homa Page Tiles/Campaigns/Page_Samsung Marketing Cloud/h1_Available Adaptations""), 0)",IE 11,,,2019-10-11 13:12:15,2019-10-11 13:12:17,2.200s,PASSED
"click(findTestObject(""Home Page/Homa Page Tiles/Campaigns/Page_Samsung Marketing Cloud/a_Product specifications""))",IE 11,,,2019-10-11 13:12:17,2019-10-11 13:12:21,3.334s,PASSED
delay(1),IE 11,,,2019-10-11 13:12:21,2019-10-11 13:12:22,1.004s,PASSED
url = getUrl(),IE 11,,,2019-10-11 13:12:22,2019-10-11 13:12:23,1.030s,PASSED
"verifyMatch(url, ""https://samsung-adzu4-staging.codeworldwide.com/#page/Assets?TagsID=8c18aa0f-a509-43b8-9830-0e5ff51e26de&CampaignID=51a8da8e-2afa-4c47-ae26-e14f01ff5e7c&CampaignText=S10%20Test%20Campaign"", false)",IE 11,,,2019-10-11 13:12:23,2019-10-11 13:12:23,0.002s,PASSED
"navigateToUrl(""https://samsung-adzu4-staging.codeworldwide.com/#page/GB/en-GB/AllDevices/S10"")",IE 11,,,2019-10-11 13:12:23,2019-10-11 13:12:24,1.236s,PASSED
"scrollToElement(findTestObject(""Home Page/Homa Page Tiles/Campaigns/Page_Samsung Marketing Cloud/h1_Available Adaptations""), 0)",IE 11,,,2019-10-11 13:12:24,2019-10-11 13:12:26,2.201s,PASSED
"click(findTestObject(""Home Page/Homa Page Tiles/Campaigns/Page_Samsung Marketing Cloud/a_Dot com""))",IE 11,,,2019-10-11 13:12:26,2019-10-11 13:12:30,3.522s,PASSED
delay(1),IE 11,,,2019-10-11 13:12:30,2019-10-11 13:12:31,1.004s,PASSED
url = getUrl(),IE 11,,,2019-10-11 13:12:31,2019-10-11 13:12:32,1.030s,PASSED
"verifyMatch(url, ""https://samsung-adzu4-staging.codeworldwide.com/#page/Assets?MediaChannelId=bc05e939-0b63-6606-a1c7-39e942e52731&MediaChannelText=Samsung.com&CampaignID=51a8da8e-2afa-4c47-ae26-e14f01ff5e7c&CampaignText=S10%20Test%20Campaign"", false)",IE 11,,,2019-10-11 13:12:32,2019-10-11 13:12:32,0.002s,PASSED
"navigateToUrl(""https://samsung-adzu4-staging.codeworldwide.com/#page/GB/en-GB/AllDevices/S10"")",IE 11,,,2019-10-11 13:12:32,2019-10-11 13:12:33,1.244s,PASSED
"scrollToElement(findTestObject(""Home Page/Homa Page Tiles/Campaigns/Page_Samsung Marketing Cloud/h1_Available Adaptations""), 0)",IE 11,,,2019-10-11 13:12:33,2019-10-11 13:12:35,2.225s,PASSED
"click(findTestObject(""Home Page/Homa Page Tiles/Campaigns/Page_Samsung Marketing Cloud/a_Members""))",IE 11,,,2019-10-11 13:12:35,2019-10-11 13:12:39,3.593s,PASSED
delay(1),IE 11,,,2019-10-11 13:12:39,2019-10-11 13:12:40,1.001s,PASSED
url = getUrl(),IE 11,,,2019-10-11 13:12:40,2019-10-11 13:12:41,1.038s,PASSED
"verifyMatch(url, ""https://samsung-adzu4-staging.codeworldwide.com/#page/Assets?MediaChannelId=148bbef1-bee6-3420-4504-39e942e6eacc&MediaChannelText=Members&CampaignID=51a8da8e-2afa-4c47-ae26-e14f01ff5e7c&CampaignText=S10%20Test%20Campaign"", false)",IE 11,,,2019-10-11 13:12:41,2019-10-11 13:12:41,0.001s,PASSED
"navigateToUrl(""https://samsung-adzu4-staging.codeworldwide.com/#page/GB/en-GB/AllDevices/S10"")",IE 11,,,2019-10-11 13:12:41,2019-10-11 13:12:42,1.233s,PASSED
"scrollToElement(findTestObject(""Home Page/Homa Page Tiles/Campaigns/Page_Samsung Marketing Cloud/h1_Available Adaptations""), 0)",IE 11,,,2019-10-11 13:12:42,2019-10-11 13:12:44,2.230s,PASSED
"click(findTestObject(""Home Page/Homa Page Tiles/Campaigns/Page_Samsung Marketing Cloud/a_Customer support""))",IE 11,,,2019-10-11 13:12:44,2019-10-11 13:12:48,3.581s,PASSED
delay(1),IE 11,,,2019-10-11 13:12:48,2019-10-11 13:12:49,1.002s,PASSED
url = getUrl(),IE 11,,,2019-10-11 13:12:49,2019-10-11 13:12:50,1.046s,PASSED
