Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
Champaigns - Chrome,IE 11,,,2019-10-11 13:37:36,2019-10-11 13:40:51,3m - 15.035s,INCOMPLETE
,,,,,,,
Test Cases/Login and Logout - Notifications/Login,IE 11,,,2019-10-11 13:37:36,2019-10-11 13:37:58,21.220s,PASSED
"openBrowser("""")",IE 11,,,2019-10-11 13:37:37,2019-10-11 13:37:42,4.880s,PASSED
"navigateToUrl(""https://samsung-adzu4-staging.codeworldwide.com/#"")",IE 11,,,2019-10-11 13:37:42,2019-10-11 13:37:44,2.418s,PASSED
"setText(findTestObject(""Object Repository/Login/Page_Samsung Marketing Cloud/Username_Text""), ""satinder.gandhi@codeworldwide.com"")",IE 11,,,2019-10-11 13:37:44,2019-10-11 13:37:48,4.092s,PASSED
"setEncryptedText(findTestObject(""Object Repository/Login/Page_Samsung Marketing Cloud/Password_text""), ""yfq/9fVkW5+QvfzWq38qvg=="")",IE 11,,,2019-10-11 13:37:48,2019-10-11 13:37:52,3.636s,PASSED
"click(findTestObject(""Object Repository/Login/Page_Samsung Marketing Cloud/button_Login""))",IE 11,,,2019-10-11 13:37:52,2019-10-11 13:37:57,4.828s,PASSED
maximizeWindow(),IE 11,,,2019-10-11 13:37:57,2019-10-11 13:37:58,1.031s,PASSED
,,,,,,,
Test Cases/Home Page/Campaigns/S10 Campaign,IE 11,,,2019-10-11 13:37:58,2019-10-11 13:40:40,2m - 42.063s,FAILED
"navigateToUrl(""https://samsung-adzu4-staging.codeworldwide.com/#"")",IE 11,,,2019-10-11 13:37:58,2019-10-11 13:37:59,1.253s,PASSED
waitForPageLoad(1),IE 11,,,2019-10-11 13:37:59,2019-10-11 13:38:00,1.121s,PASSED
"click(findTestObject(""Home Page/Homa Page Tiles/Campaigns/a_S10""))",IE 11,,,2019-10-11 13:38:00,2019-10-11 13:38:04,3.452s,PASSED
"click(findTestObject(""Home Page/Homa Page Tiles/Campaigns/Page_Samsung Marketing Cloud/a_Guidelines""))",IE 11,,,2019-10-11 13:38:04,2019-10-11 13:38:07,3.347s,PASSED
delay(1),IE 11,,,2019-10-11 13:38:07,2019-10-11 13:38:08,1.030s,PASSED
url = getUrl(),IE 11,,,2019-10-11 13:38:08,2019-10-11 13:38:09,1.036s,PASSED
